City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,paraty,-23.2178,-44.7131,24.09,54,1,2.07,BR,1720091824
210,makushino,55.2103,67.2442,25.55,57,7,2.76,RU,1720091825
211,labuan bajo,-8.4964,119.8877,24.64,78,0,2.2,ID,1720091827
212,hasaki,35.7333,140.8333,27.38,85,3,4.38,JP,1720091680
213,keflavik,64.0049,-22.5624,11.95,81,75,5.66,IS,1720091830
214,crane,31.3974,-102.3501,25.91,60,13,6.42,US,1720091596
215,narimanov,46.6927,47.8498,32.95,14,82,7.09,RU,1720091833
216,cabo san lucas,22.8909,-109.9124,25.9,34,15,1.22,MX,1720091594
217,touros,-5.1989,-35.4608,26.55,76,26,6.09,BR,1720091653
218,wailua homesteads,22.0669,-159.378,23.44,88,75,8.23,US,1720091837
219,gaspe,48.8334,-64.4819,21.12,52,75,3.09,CA,1720091838
220,along,28.1667,94.7667,24.22,100,100,0.93,IN,1720091840
221,port sudan,19.6175,37.2164,35.92,42,14,6.4,SD,1720091841
222,vila franca do campo,37.7167,-25.4333,21.23,64,39,1.32,PT,1720091843
223,san patricio,28.017,-97.5169,28.24,89,5,2.83,US,1720091844
224,yeraliyev,43.2,51.65,34.52,23,65,5.24,KZ,1720091846
225,lucapa,-8.4192,20.7447,32.02,15,13,2.88,AO,1720091847
226,whitehorse,60.7161,-135.0538,11.56,71,75,3.6,CA,1720091849
227,siwa oasis,29.2041,25.5195,37.61,22,0,5.01,EG,1720091850
228,malindi,-3.2175,40.1191,27.44,64,67,7.29,KE,1720091852
229,dudinka,69.4058,86.1778,17.97,62,95,2.43,RU,1720091854
230,dakhla,23.6848,-15.958,22.01,73,75,12.86,EH,1720091855
231,carutapera,-1.195,-46.02,26.06,87,98,2.65,BR,1720091857
232,meulaboh,4.1363,96.1285,27.22,81,91,2.43,ID,1720091858
233,kerikeri,-35.2268,173.9474,6.06,91,9,0.89,NZ,1720091859
234,champerico,14.3,-91.9167,24.42,84,19,2.88,GT,1720091861
235,lata,40.1629,-8.3327,32.49,41,3,0.48,PT,1720091863
236,ghanzi,-21.5667,21.7833,24.04,15,0,3.7,BW,1720091864
237,lerwick,60.1545,-1.1494,12.0,78,100,5.34,GB,1720091866
238,vilyuchinsk,52.9306,158.4028,9.15,95,100,0.98,RU,1720091682
239,capitan bado,-23.2667,-55.5333,18.25,48,0,3.48,PY,1720091869
240,fort valley,32.5538,-83.8874,24.38,96,100,2.06,US,1720091871
241,chernyshevskiy,63.0128,112.4714,20.4,49,93,0.7,RU,1720091872
242,banikoara,11.2985,2.4386,26.32,68,81,3.82,BJ,1720091644
243,kone,-21.0595,164.8658,20.2,87,27,3.64,NC,1720091875
244,sosnogorsk,63.6023,53.8817,26.43,36,9,6.29,RU,1720091876
245,sidi khaled,34.387,4.9879,34.33,15,0,3.43,DZ,1720091878
246,ozark,37.0209,-93.206,24.79,94,84,0.45,US,1720091880
247,mount pleasant,32.7941,-79.8626,24.99,97,40,0.0,US,1720091881
248,miasskoye,55.2784,61.8905,28.49,58,16,2.72,RU,1720091883
249,sarina,-21.4333,149.2167,19.04,1,61,7.01,AU,1720091884
250,loikaw,19.6742,97.2094,24.94,87,95,1.28,MM,1720091886
251,st. john's,47.5649,-52.7093,15.66,88,75,4.63,CA,1720091887
252,cockburn town,21.4612,-71.1419,28.02,82,70,6.52,TC,1720091889
253,kamennomostskoye,43.7372,43.0514,25.95,61,1,2.3,RU,1720091890
254,galle,6.0367,80.217,28.43,75,88,5.03,LK,1720091819
255,saint-philippe,-21.3585,55.7679,24.77,78,71,6.49,RE,1720091893
256,mount isa,-20.7333,139.5,17.87,52,40,3.09,AU,1720091895
257,al bardiyah,31.7561,25.0865,30.16,47,0,2.83,LY,1720091896
